38 Provinsi (2022=100),,,,,,,,,,,,,
,Indeks Harga Konsumen 38 Provinsi (2022=100),,,,,,,,,,,,
,2026,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
PROV ACEH,114.23,113.96,114.01,114.27,114.95,115.59,115.87,-,-,-,-,-,-
PROV SUMATERA UTARA,111.41,111.66,111.51,112,113,113.26,113.47,-,-,-,-,-,-
PROV SUMATERA BARAT,111.12,111.45,111.49,111.93,112.94,113.51,113.59,-,-,-,-,-,-
PROV RIAU,111.7,112.06,111.84,112.03,112.88,113.28,113.19,-,-,-,-,-,-
PROV JAMBI,109.98,110.62,110.77,111.07,111.9,112.48,112.41,-,-,-,-,-,-
PROV SUMATERA SELATAN,110.18,110.82,111.14,111.09,111.77,112.17,111.9,-,-,-,-,-,-
PROV BENGKULU,108.08,108.79,109.09,109.47,110.41,110.83,111.09,-,-,-,-,-,-
PROV LAMPUNG,109.71,110.11,110.32,110.93,111.84,112.45,111.9,-,-,-,-,-,-
PROV KEPULAUAN BANGKA BELITUNG,107.44,106.75,107.19,107.61,107.67,108.05,108.43,-,-,-,-,-,-
PROV KEPULAUAN RIAU,110.98,111.47,111.56,112.04,112.47,113.15,112.89,-,-,-,-,-,-
PROV DKI JAKARTA,108.22,108.9,109.45,109.68,109.81,110.26,110.09,-,-,-,-,-,-
PROV JAWA BARAT,110.05,110.94,111.52,111.44,111.71,112.02,111.96,-,-,-,-,-,-
PROV JAWA TENGAH,109.6,110.43,111.06,111.03,111.29,111.64,111.49,-,-,-,-,-,-
PROV DI YOGYAKARTA,109.75,110.5,111,111.1,111.27,111.68,111.33,-,-,-,-,-,-
PROV JAWA TIMUR,110.03,111.07,111.5,111.52,111.83,112.17,111.88,-,-,-,-,-,-
PROV BANTEN,109.16,110.18,110.7,110.61,110.62,111.07,110.83,-,-,-,-,-,-
PROV BALI,110.63,111.4,112.02,112.03,112.5,113.3,112.72,-,-,-,-,-,-
PROV NUSA TENGGARA BARAT,110.56,111.49,112.39,112.27,112.18,112.6,112.21,-,-,-,-,-,-
PROV NUSA TENGGARA TIMUR,109.65,110.14,110.41,110.89,110.6,111.34,111.18,-,-,-,-,-,-
PROV KALIMANTAN BARAT,109.09,109.65,109.92,110.55,110.9,111.24,111.66,-,-,-,-,-,-
PROV KALIMANTAN TENGAH,110.4,110.91,111.51,111.97,112.35,112.61,112.87,-,-,-,-,-,-
PROV KALIMANTAN SELATAN,111.28,112.24,112.8,112.75,112.98,113.52,113.55,-,-,-,-,-,-
PROV KALIMANTAN TIMUR,109.84,110.5,111.3,111.42,111.61,112.39,112.59,-,-,-,-,-,-
PROV KALIMANTAN UTARA,108.55,109.06,109.68,109.7,110,110.5,109.75,-,-,-,-,-,-
PROV SULAWESI UTARA,109.33,110.44,110.72,111.78,111.1,113.46,112.27,-,-,-,-,-,-
PROV SULAWESI TENGAH,110.72,111.61,112.03,112.6,112.9,114.12,114.14,-,-,-,-,-,-
PROV SULAWESI SELATAN,109.79,110.93,111.59,111.56,111.66,112.06,111.86,-,-,-,-,-,-
PROV SULAWESI TENGGARA,110.37,111.09,111.55,112.11,113.14,114.6,114.38,-,-,-,-,-,-
PROV GORONTALO,109.6,110.51,110.78,111.6,110.53,112.86,112.38,-,-,-,-,-,-
PROV SULAWESI BARAT,110.21,110.53,110.62,110.89,111.01,111.54,111.8,-,-,-,-,-,-
PROV MALUKU,111.65,112.3,111.46,111.27,112.31,113.98,113.13,-,-,-,-,-,-
PROV MALUKU UTARA,111.71,112.64,112.03,112.93,112.99,115.76,114.99,-,-,-,-,-,-
PROV PAPUA BARAT,110.76,110.04,110.1,112.3,112.93,114.72,114.49,-,-,-,-,-,-
PROV PAPUA BARAT DAYA,107.82,107.21,108.33,109.05,109.04,110.91,110.8,-,-,-,-,-,-
PROV PAPUA,107.95,108.02,108.78,109.85,109.1,110.19,108.75,-,-,-,-,-,-
PROV PAPUA SELATAN,112.26,112.92,113.32,114.39,113.82,114.31,114.28,-,-,-,-,-,-
PROV PAPUA TENGAH,113.94,113.91,114.21,114.45,115.05,116.73,116.53,-,-,-,-,-,-
PROV PAPUA PEGUNUNGAN,115.34,115.9,118.88,119.8,120.38,122.43,120.75,-,-,-,-,-,-
INDONESIA,109.75,110.5,110.95,111.09,111.4,111.89,111.73,-,-,-,-,-,-
